"#wordnet"
案,目論み
案,目論見
案,計画
桜,桜色
楽,楽ちん
楽,音楽
概ね,略
概略,略
概要,略
様,状態
様,状況
模範,鑑
権,権利
権,権力
横筋,脇
横道,邪
機,機会
機能,用
欝,気鬱
欝,沈鬱
欝,陰鬱
欝,鬱気
欠点,瑕
欠点,疵
欠点,短
欠点,穴
欠点,難
欠陥,瑕
欠陥,疵
欠陥,穴
欠陥,難
欲,色気
歌,歌唱
歌,歌曲
歓,歓喜
正直,真
死,死亡
死,死去
死,死没
死,歿
死,永眠
死,没
死,登仙
死,眠り
死,終焉
死,絶命
死,落命
死,薨去
死,辞世
死,逝去
死,遷化
死,閉眼
死亡,歿
死亡,没
死去,歿
死去,没
死屍,骸
毒,毒物
毒,毒素
毒,毒薬
気,気分
気,気持ち
気,考え
気流,風
気鬱,鬱
汐,潮の干満
沈鬱,鬱
没,終焉
没,逝去
沢山,豊
法,法例
法,法度
波,浪
波風,漣
泣き,涕
泥,泥土
泪,涕
津,港
浦,海浜
涕,涙
清酒,聖
港,湊
滝,飛泉
潮,潮の干満
瀧,飛泉
灯,燭
灯かり,燭
灯り,燭
点,点数
父,父なる神
父,男親
爺,老爺
牢,鉄格子
物,物件
物,物品
物,物質
犬,諜報員
犬,間者
犬,間諜
犬,隠密
狐,稲荷
狭霧,霧
獄,獄舎
獄,監獄
獄,豚箱
獄,鉄格子
玉,球体
玉,鞠
王,王者
現,現実
球,球体
球,球形
球,鞠
理合,訳
理屈,訳
理由,由
理由,訳
瑕,瑕疵
瑕疵,疵
生,生命
生地,織
産,産む
用,経費
用,費用
田園,鄙
男,男子
男,紳士
略,省略
番,順番
疣,疣贅
疵,難点
疾患,病
疾病,病
病,病患
病,病魔
痕,瘢痕
痴,痴人
癇,癇癪
癌,癌腫
白鳥,鵠
皮膚,肌
盛り,花
盛時,花
目,眼力
目論み,謀
目論見,謀
相好,面
真心,誠
着物,衣
知,知力
知,知性
知,知恵
知,知能
知,知識
短,短所
短,粗
短,難
短,難点
短,非
短所,粗
短所,難
短所,非
砦,胸壁
礼,行儀作法
礼,謝礼
社,神社
祈願,願
祝,祝い事
祝,祝儀
祝,祝言
神,神明
祭,祭式
祭,祭礼
祭,祭祀
禁,禁令
禁,禁止
秋,秋季
秋,秋期
秘,秘めごと
秘,秘事
秘,隠し事
租税,税
程,程度
種,種別
種,種物
種,種目
種,種類
種,素
種,素材
種,部類
種,類
種類,類
稼業,職
稿,稿本
空,空所
空,虚
空き,隙
空洞,虚
空言,虚
空隙,隙
空音,虚
窮乏,貧
立場,見
端,端末
符,護符
筋,線
筋合,訳
筋合い,訳
答,返事
策,策略
策,謀
策略,罠
策略,羂
粗,荒
粗,荒さ
粗,荒っぽさ
精,精力
精神,魂
系,系統
紛い,贋
素,素材
素質,能
素質,資
素質,質
絵,絵図
絵,絵画
絶頂,頂
緑,青葉
緒,足掛かり
縁,縁側
縁,縁故
縁,縁部
縁,繋がり
縁,繋り
縁,血縁
縁,辺
縁,関わり
縁,関係
縁,関連
縁,関連性
縁,頼り
縁辺,辺
織,織地
罪,罪悪
罪,罪業
罪,誤ち
罪,辜
罪,過ち
罪科,罰
美,美しさ
羞,羞恥
羽根,翼
翁,老爺
翅,翼
習わし,風
習俗,風
習慣,風
翳,陰翳
考え方,見
聖,聖人
聖,聖者
肉,肉類
肉,食肉
肌,肌膚
能,能力
脈,脈絡
脳,頭脳
腕,腕前
興,興味
興,関心
舌,言い方
舟艇,艇
般若湯,酒
舳,舳先
舳,艦首
船,船舶
芙蓉,蓮
花,黄金時代
芳香,薫
苦,苦しさ
苦,苦しみ
莚,蓆
菌,菌類
落とし穴,謀
葬,葬儀
蔭,陰影
蔭,陰翳
薫,薫香
薫,香
薫,香り
薫り,香
薫香,香
薫香,馨
薬,薬剤
薬,薬品
藻,藻類
虚,虚偽
虚,虚妄
虚,虚言
虚,詐偽
虫,虫けら
蝶,蝶蝶
衣,衣紋
衣,衣装
表層,面
見,見解
親方,頭
解任,首
解職,首
解雇,首
言,言葉
言,言語
言葉,詞
言葉,辞
言語,詞
言語,辞
計,計画
記,記録
訳,謂れ
訳,道理
証,証拠
詠,詠歌
詩,詩篇
詩,詩編
話,語らい
話,語り
話,談
話,談話
話し,談
語らい,談
誠,誠意
誤ち,非
誤まり,非
誤り,非
誤謬,非
誼,馴染み
論,議論
謀,謀議
謀,陰謀
謀,魂胆
謎,謎謎
譜,音譜
讃,賛美
財,財宝
貧,貧乏
貧,貧窮
貧,金欠
貧,金欠病
責,責め
賞,賞与
贅,贅沢
贋,贋物
赤金,銅
趣,趣旨
足,金員
足,銀子
足,黄金
車,車両
車,車輌
車,車輛
車,車輪
車,輪
車,銀輪
輩,連
透き,隙
透き間,隙
途,道
連,連中
運,運勢
運,運命
運,運気
過ち,非
過失,非
過怠,非
過誤,非
遺体,骸
