"#wordnet"
グレイド,段階
グレイド,程度
グレー,鼠色
グレード,品位
グレード,程度
グレード,評価
グー,ハラショー
グー,好い
ケア,世話
ケア,手当
ケア,手当て
ケア,配慮
ケアー,配慮
ケットル,薬缶
ケース,入物
ケース,場合
ケース,容物
ケース,案件
ケ所,ポイント
ケ所,点
ケ所,箇所
ケ所,項目
ゲイン,儲け
ゲイン,利益
ゲル,ゲルト
ゲル,金員
ゲル,銀子
ゲル,黄金
ゲルト,丸物
ゲルト,御足
ゲルト,御金
ゲルト,金円
ゲルト,金員
ゲルト,金子
ゲルト,金銭
ゲルト,金面
ゲルト,銀子
ゲルト,銭金
ゲルト,鳥目
ゲルト,黄白
ゲルト,黄金
ゲーム,一戦
ゲーム,仕合
ゲーム,勝負
ゲーム,手合
ゲーム,競技
ゲーム,試合
ゲーム,遊び
ゲーム,遊戯
コア,心
コスチューム,御召
コスチューム,御衣
コスチューム,衣紋
コスチューム,装い
コスト,犠牲
コスモ,宇宙
コスモス,宇宙
コネ,結びつき
コネ,縁
コネ,繋がり
コネ,関わり
コネ,関係
コネクション,関係
コネクション,関連
コピー,複製
コマンド,指図
コマンド,指示
コマーシャル,広告
コミュニケーション,伝達
コミュニケーション,通信
コメット,彗星
コメント,付注
コメント,意見
コメント,所見
コメント,概評
コメント,注疏
コメント,注解
コメント,注記
コメント,注釈
コメント,義解
コメント,解説
コメント,註解
コメント,註記
コメント,註釈
コメント,評釈
コメント,論評
コメント,講評
コモンセンス,常識
コモンセンス,良識
コラボ,共同
コラボ,協同
コラボレーション,共同
コラボレーション,協同
コラム,主柱
コリジョン,衝突
コロニー,属領
コンクール,競り
コンクール,競争
コンクール,競技
コンサルテーション,相談
コンセプト,概念
コンセプト,観念
コンセントレーション,傾注
コンセントレーション,埋没
コンセントレーション,専心
コンセントレーション,専念
コンセントレーション,没入
コンセントレーション,集中
コンタクト,接触
コンタクト,連絡
コンテキスト,状況
コンテクスト,状況
コンテスト,競争
コンテナ,物入
コンテナー,物入
コンディション,具合
コンディション,情況
コンディション,条件
コンディション,様子
コンディション,状態
コンディション,状況
コントラクション,収縮
コントラクション,委縮
コントラクション,萎縮
コントラクト,契約
コントラバス,バス
コンバット,交戦
コンバット,戦い
コンバット,戦闘
コンバージョン,変更
コンバージョン,組替
コンバート,組替
コンパニオン,仲間
コンピュータ,電算
コンピュータ,電脳
コンフィギュレーション,構成
コンフィギュレーション,配置
コンフィグレーション,構成
コンフィグレーション,配置
コンフリクト,摩擦
コンフリクト,葛藤
コンベンション,伝統
コンベンション,大会
コンポ,要素
コンポ,部分
コンポジション,楽曲
コンポジション,構成
コンポーネント,要素
コンヴェンション,大会
コーション,注意
コース,パス
コース,方向
コース,方角
